Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.62     0.00      198     0.00     0.00  EnergyLevel::EnergyLevel(double)
  0.00      0.62     0.00      198     0.00     0.00  EnergyLevel::~EnergyLevel()
  0.00      0.62     0.00      156     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::basic_string<std::allocator<char> >(char const*, std::allocator<char> const&)
  0.00      0.62     0.00      155     0.00     0.00  std::vector<int, std::allocator<int> >::_M_default_append(unsigned long)
  0.00      0.62     0.00       86     0.00     0.00  RadialFunctionImplementation::~RadialFunctionImplementation()
  0.00      0.62     0.00       79     0.00     0.00  ElectronContainerImplementation::GetOccupation() const
  0.00      0.62     0.00       73     0.00     0.00  virtual thunk to BasisSetImplementation::GetNumFunctions() const
  0.00      0.62     0.00       71     0.00     0.00  testing::Test::Setup()
  0.00      0.62     0.00       70     0.00     0.00  GaussianRF::~GaussianRF()
  0.00      0.62     0.00       64     0.00     0.00  SMatrix<double>::SMatrix(VecLimits const&, VecLimits const&)
  0.00      0.62     0.00       63     0.00     0.00  ElectronContainerImplementation::SetOccupation(double)
  0.00      0.62     0.00       63     0.00     0.00  Matrix<double>::Matrix(MatLimits const&)
  0.00      0.62     0.00       60     0.00     0.00  virtual thunk to PolarizedGaussianBF::GetNormalization() const
  0.00      0.62     0.00       55     0.00     0.00  std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::~vector()
  0.00      0.62     0.00       54     0.00     0.00  EnergyLevel::SetOccupation(double)
  0.00      0.62     0.00       54     0.00     0.00  FermiThermalizer::GetOccupation(double)
  0.00      0.62     0.00       54     0.00    11.10  HamiltonianTermImplementation::BuildHamiltonian(BasisSet const*, Spin const&) const
  0.00      0.62     0.00       54     0.00     0.00  void std::vector<EnergyLevel*, std::allocator<EnergyLevel*> >::_M_realloc_insert<EnergyLevel*>(__gnu_cxx::__normal_iterator<EnergyLevel**, std::vector<EnergyLevel*, std::allocator<EnergyLevel*> > >, EnergyLevel*&&)
  0.00      0.62     0.00       54     0.00     0.00  void std::vector<double, std::allocator<double> >::_M_realloc_insert<double>(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, double&&)
